iter	RMSE
0	3248109.185
1	3085969.78
2	2948958.23
3	2822981.133
4	2727414.626
5	2633661.505
6	2555166.664
7	2478309.199
8	2412826.23
9	2362049.053
10	2308147.8
11	2259314.464
12	2222948.587
13	2187329.425
14	2151299.114
15	2121305.342
16	2097633.836
17	2074652.916
18	2047830.505
19	2031826.631
20	2012272.796
21	1993853.791
22	1975211.348
23	1965152.778
24	1951719.53
25	1937174.96
26	1926966.12
27	1911507.033
28	1899361.964
29	1892449.521
30	1886401.742
31	1880276.658
32	1873298.847
33	1863883.659
34	1855396.115
35	1849524.194
36	1842779.431
37	1833068.27
38	1827460.516
39	1821430.127
40	1818331.145
41	1811889.933
42	1806139.485
43	1801518.237
44	1797817.154
45	1795736.011
46	1793462.816
47	1790221.005
48	1786503.949
49	1781904.453
50	1779138.78
51	1772533.668
52	1768063.695
53	1765331.4
54	1763114.079
55	1759631.268
56	1756469.329
57	1754388.36
58	1752532.458
59	1747941.523
60	1743834.707
61	1740580.608
62	1734500.853
63	1731175.553
64	1727667.932
65	1724960.281
66	1719257.266
67	1715278.412
68	1712279.577
69	1706635.893
70	1704092.251
71	1701384.443
72	1699288.227
73	1694025.742
74	1689480.838
75	1686644.636
76	1684004.528
77	1681145.292
78	1675559.484
79	1672837.191
80	1669508.638
81	1664618.836
82	1661476.121
83	1659651.101
84	1656444.798
85	1649693.998
86	1647658.705
87	1645231.177
88	1642491.79
89	1640170.857
90	1636643.629
91	1633332.871
92	1631319.222
93	1628367.915
94	1624975.388
95	1621508.888
96	1617567.285
97	1612641.675
98	1610005.769
99	1607181.471
100	1605296.366
101	1603140.351
102	1599469.364
103	1597032.55
104	1593442.536
105	1588765.863
106	1583660.623
107	1578829.569
108	1575724.163
109	1572989.705
110	1568968.173
111	1567068.919
112	1564440.716
113	1562666.362
114	1560601.95
115	1558221.228
116	1555339.643
117	1552210.869
118	1549774.788
119	1547761.127
120	1545114.94
121	1543434.499
122	1540306.901
123	1535535.923
124	1533411.682
125	1531512.07
126	1529479.129
127	1527110.677
128	1525101.058
129	1523002.089
130	1521631.541
131	1519242.804
132	1517124.363
133	1513489.772
134	1510929.08
135	1509177.434
136	1507224.316
137	1502567.474
138	1499577.088
139	1497020.769
140	1495336.934
141	1492629.264
142	1489380.665
143	1487085.924
144	1485312.219
145	1484439.515
146	1480712.151
147	1478885.94
148	1475509.735
149	1473070.255
150	1470093.864
151	1468234.025
152	1466741.189
153	1464668.369
154	1462164.855
155	1457257.9
156	1455190.137
157	1452812.369
158	1449978.132
159	1448125.353
160	1445860.069
161	1443872.411
162	1442125.993
163	1439918.154
164	1438002.943
165	1435864.89
166	1432304.483
167	1430239.045
168	1425306.786
169	1422131.367
170	1420152.558
171	1417532.881
172	1416365.14
173	1412765.072
174	1411857.86
175	1410158.68
176	1407379.808
177	1404761.136
178	1403854.841
179	1402250.17
180	1399837.066
181	1398121.415
182	1396693.622
183	1394503.85
184	1391589.772
185	1389513.881
186	1388319.202
187	1386267.776
188	1384806.241
189	1383618.052
190	1382240.362
191	1378813.514
192	1374756.07
193	1372482.599
194	1371308.18
195	1369657.269
196	1367870.098
197	1366303.01
198	1364534.718
199	1363350.811
200	1361753.326
201	1356277.45
202	1354990.351
203	1354536.635
204	1351400.598
205	1348324.06
206	1347421.482
207	1345370.685
208	1344256.249
209	1343850.648
210	1340929.102
211	1338275.386
212	1337606.522
213	1336439.585
214	1334105.652
215	1332796.946
216	1329676.012
217	1328284.634
218	1326654.588
219	1325102.838
220	1322971.147
221	1320642.748
222	1319233.061
223	1316946.831
224	1315921.69
225	1314733.608
226	1311976.992
227	1311083.734
228	1309554.101
229	1308774.788
230	1307017.129
231	1305549.275
232	1305090.353
233	1301635.313
234	1299688.223
235	1297873.785
236	1297292.071
237	1295804.086
238	1294764.457
239	1293079.69
240	1292163.8
241	1288191.451
242	1286127.777
243	1283706.277
244	1282432.637
245	1280407.932
246	1279784.218
247	1276979.209
248	1276371.423
249	1275192.611
