iter	Passed	Remaining
0	1	287
1	1	180
2	1	146
3	2	132
4	2	122
5	2	114
6	3	109
7	3	107
8	3	105
9	4	101
10	4	99
11	4	98
12	5	97
13	5	95
14	6	95
15	6	93
16	6	93
17	7	92
18	8	101
19	8	100
20	9	99
21	9	99
22	10	99
23	10	99
24	11	99
25	11	99
26	12	99
27	12	98
28	12	98
29	13	98
30	13	98
31	14	97
32	14	97
33	15	97
34	15	97
35	16	97
36	16	97
37	17	96
38	17	95
39	18	95
40	18	94
41	19	94
42	19	94
43	20	94
44	20	93
45	21	93
46	21	93
47	22	93
48	22	92
49	23	92
50	23	91
51	23	91
52	24	90
53	24	90
54	25	89
55	25	89
56	26	88
57	26	88
58	27	87
59	27	87
60	28	86
61	28	86
62	28	85
63	29	84
64	29	84
65	29	83
66	30	83
67	30	82
68	31	82
69	31	82
70	32	81
71	32	81
72	33	80
73	33	80
74	34	79
75	34	79
76	35	79
77	35	78
78	36	78
79	36	77
80	36	77
81	37	76
82	37	76
83	38	75
84	38	75
85	39	74
86	39	74
87	40	73
88	40	73
89	40	72
90	41	72
91	41	71
92	42	71
93	42	70
94	43	70
95	43	69
96	43	69
97	44	68
98	44	68
99	45	67
100	45	67
101	46	66
102	46	66
103	46	65
104	47	65
105	47	65
106	49	65
107	49	64
108	49	64
109	50	63
110	50	63
111	51	63
112	51	62
113	51	61
114	52	61
115	52	60
116	52	60
117	53	59
118	53	59
119	54	58
120	54	58
121	55	57
122	55	57
123	55	56
124	56	56
125	56	55
126	57	55
127	57	54
128	58	54
129	58	54
130	58	53
131	59	53
132	59	52
133	60	52
134	60	51
135	61	51
136	61	50
137	62	50
138	62	49
139	62	49
140	63	48
141	63	48
142	64	48
143	64	47
144	65	47
145	65	46
146	66	46
147	66	45
148	67	45
149	67	45
150	68	44
151	68	44
152	69	43
153	69	43
154	70	43
155	70	42
156	71	42
157	71	41
158	72	41
159	72	40
160	73	40
161	73	39
162	74	39
163	74	39
164	74	38
165	75	38
166	75	37
167	75	37
168	76	36
169	76	36
170	77	35
171	77	35
172	78	34
173	78	34
174	79	33
175	79	33
176	80	33
177	80	32
178	81	32
179	81	31
180	82	31
181	83	31
182	83	30
183	84	30
184	84	29
185	84	29
186	85	28
187	85	28
188	86	27
189	86	27
190	87	26
191	87	26
192	87	25
193	88	25
194	88	25
195	89	24
196	89	24
197	90	23
198	90	23
199	90	22
200	91	22
201	91	21
202	92	21
203	92	20
204	93	20
205	93	20
206	94	19
207	94	19
208	95	18
209	95	18
210	96	17
211	96	17
212	97	16
213	97	16
214	98	15
215	98	15
216	98	15
217	99	14
218	99	14
219	100	13
220	100	13
221	101	12
222	101	12
223	102	11
224	102	11
225	102	10
226	103	10
227	103	10
228	104	9
229	104	9
230	105	8
231	105	8
232	106	7
233	106	7
234	107	6
235	107	6
236	108	5
237	108	5
238	109	5
239	109	4
240	109	4
241	110	3
242	110	3
243	111	2
244	111	2
245	112	1
246	112	1
247	113	0
248	113	0
249	113	0
